rank,file_sha,representative_name,super_skill,decision,decision_code,reason_detail,covered_by,duplicate_of_file_sha
164,f80be15621dac2b817368817128f505ceb55162d,supabase-postgres-best-practices,application-engineering,not-retained,not-retained-near-duplicate,Review found supabase-postgres-best-practices to be a near-duplicate lineage of reviewed rank 34; it added no material behavior beyond the existing data synthesis.,research/synthesis-matrices/application-engineering.md::Data,d9ef1949f807d0b41ca85d9a0837ad78bf1c58de
167,c8f790aac0fd8ae01f057f692d233eebe97ebbd7,springboot-verification,software-delivery,not-retained,not-retained-context-specific,"Review found that springboot-verification's generalizable completion guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/software-delivery.md::Completion,
169,73c4b0fed029de63431a7fc328c714ff04ad8ed8,neon-postgres,application-engineering,not-retained,not-retained-context-specific,"Review found that neon-postgres's generalizable data guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Data,
172,bebd018cdcae1771eacdee30cfb96af3ad3bd936,workers-best-practices,application-engineering,not-retained,not-retained-covered,Substantive review found no material deployment units decision in workers-best-practices that was not already represented by the cited synthesis rule.,research/synthesis-matrices/application-engineering.md::Deployment units,
173,ec59113de529bc58ae07dedb65defc1394afa5b0,laravel-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that laravel-patterns's generalizable architecture guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Architecture,
175,8e5287102e5518504b7d44aecea59ca0794db16f,nextjs-turbopack,application-engineering,not-retained,not-retained-context-specific,"Review found that nextjs-turbopack's generalizable frontend guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Frontend,
176,d27bc5312cac823cc4b30d7d28eed9cd17b7a168,openspec-propose,software-delivery,not-retained,not-retained-product-specific,"Review found that openspec-propose instantiated the existing planning rule for a particular tool or mechanism without adding a new mode, constraint, conflict, safeguard, or evaluation boundary.",research/synthesis-matrices/software-delivery.md::Planning,
180,85cb198652e603fe9cf707355a582ad398ae017a,expo-api-routes,application-engineering,not-retained,not-retained-context-specific,"Review found that expo-api-routes's generalizable apis guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::APIs,
183,c1b2533f489ab7f8fd01225a0edfd709271c0a39,executing-plans,software-delivery,not-retained,not-retained-covered,Substantive review found no material planning decision in executing-plans that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Planning,
185,c1000fae66ba993d2796a4881ce5708d5e9cc416,cost-aware-llm-pipeline,application-engineering,not-retained,not-retained-covered,Substantive review found no material architecture decision in cost-aware-llm-pipeline that was not already represented by the cited synthesis rule.,research/synthesis-matrices/application-engineering.md::Architecture,
187,578b7299cc38db90f176c4c956c2458f4b2dd04d,testing-patterns,software-delivery,not-retained,not-retained-covered,Substantive review found no material testing decision in testing-patterns that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Testing,
188,3b20b610f72169d91386e70e2da73f56fb7f1c63,code-review-checklist,software-delivery,not-retained,not-retained-covered,Substantive review found no material review decision in code-review-checklist that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Review,
189,1b4963f5dc12fdec7a9c11f68f9445c4b3a40269,android-clean-architecture,application-engineering,not-retained,not-retained-context-specific,"Review found that android-clean-architecture's generalizable architecture guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Architecture,
192,118456fcb10225c030769a4fee7815b9c536b0ce,ci-cd-and-automation,software-delivery,not-retained,not-retained-covered,Substantive review found no material completion decision in ci-cd-and-automation that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Completion,
193,29cd83411d3a5daddf26944a2a8e9bbd4b3febcf,agent-harness-construction,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Retained because review identified observation contracts and recovery-aware action-space design.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
195,04f5c13c5d3cb4d156f69a4d40692c422e940e9e,postgresql,application-engineering,not-retained,not-retained-context-specific,"Review found that postgresql's generalizable data guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Data,
196,dcecd8e3f356c73f340676cfcefb33539435e987,vercel-react-view-transitions,application-engineering,not-retained,not-retained-context-specific,"Review found that vercel-react-view-transitions's generalizable frontend guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Frontend,
197,239b2848489511de30d9e63b0bd183adc4b01347,code-simplification,software-delivery,not-retained,not-retained-covered,Substantive review found no material planning decision in code-simplification that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Planning,
199,10c9522f819d7d37baf415d82a6fef8460cdcc00,kotlin-ktor-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that kotlin-ktor-patterns's generalizable runtimes guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Runtimes,
202,39417d3f67cdf427aac2709fe97d40e9b0f4f855,systematic-debugging,software-delivery,not-retained,not-retained-covered,Substantive review found no material debugging decision in systematic-debugging that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Debugging,
203,80cc2b2b6165ed0de7592189605bd2c5affb0ce7,rust-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that rust-patterns's generalizable runtimes guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Runtimes,
205,7029916a5687f9679256ae634e3388c9ad1721d4,perl-testing,software-delivery,not-retained,not-retained-context-specific,"Review found that perl-testing's generalizable testing guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/software-delivery.md::Testing,
206,d4f8d66235603ebacc0ccef2f25758c7d623c8b2,jpa-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that jpa-patterns's generalizable data guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Data,
209,82df6a6ecf8a81e9ff265fe2d70cabb44b0ebc6c,imessage,connected-service-automation,retained,retained-synthesis-evidence,"Retained because review identified recipient, channel, platform permission, and send-state verification.",research/synthesis-matrices/connected-service-automation.md::Side effects,
215,6627ec6d9a09aa0a88c957e1c8a02a16283838f1,springboot-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that springboot-patterns's generalizable architecture guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Architecture,
217,083ce216fb7ea9c1126fdb1a688ce9cf6fdb4b70,content-hash-cache-pattern,application-engineering,not-retained,not-retained-product-specific,"Review found that content-hash-cache-pattern instantiated the existing data rule for a particular tool or mechanism without adding a new mode, constraint, conflict, safeguard, or evaluation boundary.",research/synthesis-matrices/application-engineering.md::Data,
219,7b603dfa6b74b46a58468d4dbecf2bc753ab0270,typescript-advanced-types,application-engineering,not-retained,not-retained-context-specific,"Review found that typescript-advanced-types's generalizable architecture guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Architecture,
233,7576b5416502e93f3c5cf9d1009850d1c597ea94,enterprise-agent-ops,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,"Retained because review identified lifecycle, observability, rollout, and emergency controls for persistent agents.",research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
245,13a8961d94881f9d92323f51f11be4731dd475d9,next-cache-components,application-engineering,not-retained,not-retained-covered,Substantive review found no material data decision in next-cache-components that was not already represented by the cited synthesis rule.,research/synthesis-matrices/application-engineering.md::Data,
249,210d666118023f47746414b2ee027584370f9df9,nodejs-backend-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that nodejs-backend-patterns's generalizable runtimes guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Runtimes,
255,4fc69f4c288f26a1c0aedc166789795671d2204b,investor-outreach,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified verified relevance and consistent claims in investor outreach.,research/synthesis-matrices/marketing-and-growth.md::Fundraising,
294,61e8cf76d9a4a8f8e6cad3d7458170cecb719242,apple-notes,connected-service-automation,retained,retained-synthesis-evidence,"Retained because review identified record identity, search completeness, edit semantics, and recoverable deletion.",research/synthesis-matrices/connected-service-automation.md::Records,
299,8b56d81529300eac854fafe1c5a663e0dd9d142b,pytorch-patterns,data-science-and-ml,retained,retained-synthesis-evidence,Retained because review identified reproducible device-aware training and data-pipeline validation.,research/synthesis-matrices/data-science-and-ml.md::Scale,
310,040da793fd869f9bd56803715c81648a9f5f0347,spotify-player,connected-service-automation,retained,retained-synthesis-evidence,Retained because review identified account and device resolution before media state changes.,research/synthesis-matrices/connected-service-automation.md::Records,
330,a008205c12fab4c8ccb52226c9e529b925c5557a,codebase-onboarding,application-engineering,not-retained,not-retained-out-of-scope,"Review corrected the metadata routing: codebase orientation is not a marketing capability, and its application guidance added no distinct decision beyond the existing architecture synthesis.",research/synthesis-matrices/application-engineering.md::Architecture,
344,be991103fe2b13f7e5f6f5da9d3c6029ad30ac64,context-engineering,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Retained because review identified task-scoped context selection with explicit authority and freshness.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Runtime context,
378,5b23873fb55490b805abbf4ae94817a53ed7580f,marketing-psychology,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified behavioral principles bounded by evidence, trust, and user welfare.",research/synthesis-matrices/marketing-and-growth.md::Persuasion,
420,6b46eec7c8798ef0083348a083d1883d3ed9cf4a,feishu-drive,connected-service-automation,retained,retained-synthesis-evidence,Retained because review identified stable resource targeting for cloud-file mutations.,research/synthesis-matrices/connected-service-automation.md::Permissions,
423,3651310a1a7f4dfe16bdf4dc03e1dc9dd76a1bc0,pricing-strategy,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified value metrics, packaging, economics, evidence, and migration.",research/synthesis-matrices/marketing-and-growth.md::Pricing,
433,ecf0a1e56bd137b9e19da0e1e68071cf1733461a,free-tool-strategy,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material acquisition decision in free-tool-strategy that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Acquisition,
434,1ce5db8b86c52d53a2687a630e102e8355cfd101,feishu-perm,connected-service-automation,retained,retained-synthesis-evidence,Retained because review identified least-privilege collaborator changes with access verification.,research/synthesis-matrices/connected-service-automation.md::Permissions,
455,b3e150eb8418bff9081edc296ec1b5611cf8ffc7,programmatic-seo,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified scaled search pages gated by unique value and reliable data.,research/synthesis-matrices/marketing-and-growth.md::Search,
456,c61c186893eb0afda5d391a9d1ad70f6edad11b9,senior-data-scientist,data-science-and-ml,retained,retained-synthesis-evidence,"Retained because review identified statistical framing, experimental validity, and stakeholder decision context.",research/synthesis-matrices/data-science-and-ml.md::Problem framing,
466,4ba17e616350c0bb3e9dc3d25671a911b6da795e,product-marketing-context,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified dated shared commercial context separating facts from assumptions.,research/synthesis-matrices/marketing-and-growth.md::Research,
497,020f0d641df4074d69d6c31cf816afcd42d583c7,apple-notes,connected-service-automation,not-retained,not-retained-covered,Substantive review found no material records decision in apple-notes that was not already represented by the cited synthesis rule.,research/synthesis-matrices/connected-service-automation.md::Records,
502,cbf9adff01b55fd12511faea71da44b548b80c10,copywriting,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified message construction from audience, proof, objection, and one intended action.",research/synthesis-matrices/marketing-and-growth.md::Persuasion,
540,dd3ed3c85d5329be335f4b34a9640f9914e36c6c,seo-audit,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in seo-audit that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
542,f34860e42913a67adc65d3fc5b74cf996f524e69,investor-outreach,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found investor-outreach to be a near-duplicate lineage of reviewed rank 255; it added no material behavior beyond the existing fundraising synthesis.,research/synthesis-matrices/marketing-and-growth.md::Fundraising,4fc69f4c288f26a1c0aedc166789795671d2204b
552,42bf746b426600c416c0a5969a043592ff14ba7b,pricing-strategy,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material pricing decision in pricing-strategy that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Pricing,
570,2bdffe5269a8b1a08e95d1a84825c3bf56c3adcf,page-cro,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified conversion diagnosis across traffic, offer, trust, experience, and measurement.",research/synthesis-matrices/marketing-and-growth.md::Conversion,
578,6979118584a6e46bd32318321c84d546b6350c09,paywall-upgrade-cro,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material conversion decision in paywall-upgrade-cro that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Conversion,
609,f00f7678ac70063822085da8823fdcfe986b1fa8,marketing-psychology,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found marketing-psychology to be a near-duplicate lineage of reviewed rank 378; it added no material behavior beyond the existing persuasion synthesis.,research/synthesis-matrices/marketing-and-growth.md::Persuasion,5b23873fb55490b805abbf4ae94817a53ed7580f
641,5883b6527d2ef5a5a68ffa24301c2ddc3ad33883,schema-markup,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in schema-markup that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
648,5dd86483d389b69d51c5c20171b665225b37a13d,popup-cro,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified interruptive conversion patterns bounded by timing, relevance, and respect.",research/synthesis-matrices/marketing-and-growth.md::Conversion,
735,6d69f63f6dbaa57c525a1a32d1f37eb4412c8aa8,computer-vision-expert,data-science-and-ml,retained,retained-synthesis-evidence,"Retained because review identified perception evaluation across capture conditions, geometry, and deployment constraints.",research/synthesis-matrices/data-science-and-ml.md::Validation,
746,ef3e782c46de14767d7a86d299e4980827ba5ee9,pricing-strategy,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found pricing-strategy to be a near-duplicate lineage of reviewed rank 423; it added no material behavior beyond the existing pricing synthesis.,research/synthesis-matrices/marketing-and-growth.md::Pricing,3651310a1a7f4dfe16bdf4dc03e1dc9dd76a1bc0
747,715c5a20aa858e71a5b77a24a2606311278bd40a,schema-markup,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in schema-markup that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
754,503b05bf8cb3707dad7a62a918c8932d8f6ee7e5,seo,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in seo that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
809,e6eb588cac767a67570b36930d9c28ac5697e0ef,marketing-psychology,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material persuasion decision in marketing-psychology that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Persuasion,
831,b80991c92514a1ec4371c26f7b7f62cdbe4356e6,form-cro,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material conversion decision in form-cro that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Conversion,
832,15f1fd56ce8590dcaf1d3daecb7cee32ac827a69,paywall-upgrade-cro,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found paywall-upgrade-cro to be a near-duplicate lineage of reviewed rank 578; it added no material behavior beyond the existing conversion synthesis.,research/synthesis-matrices/marketing-and-growth.md::Conversion,6979118584a6e46bd32318321c84d546b6350c09
874,26615e089246c5cd619c03a71bad11cccb278764,signup-flow-cro,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified signup friction decisions tied to commitment, consent, and downstream quality.",research/synthesis-matrices/marketing-and-growth.md::Conversion,
886,eddedb4c9ce5357c358cbdedb8af9faa48cea179,programmatic-seo,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in programmatic-seo that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
889,630f11a8bd04abf9bc274ab71565bca599caca14,form-cro,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material conversion decision in form-cro that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Conversion,
905,9e16f446ff7601ba63cc898eca4eb47b12b663d2,pytorch-fsdp,data-science-and-ml,retained,retained-synthesis-evidence,Retained because review identified distributed training selected from measured memory and communication constraints.,research/synthesis-matrices/data-science-and-ml.md::Scale,
907,5ae86ff7e1aad7ccbae671f2707429505421924c,marketing-ideas,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material acquisition decision in marketing-ideas that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Acquisition,
908,5cb2c1030a5d02bd47d029b79ce3fd2fe2f43b10,form-cro,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found form-cro to be a near-duplicate lineage of reviewed rank 831; it added no material behavior beyond the existing conversion synthesis.,research/synthesis-matrices/marketing-and-growth.md::Conversion,b80991c92514a1ec4371c26f7b7f62cdbe4356e6
929,af71b61cc7e430b42eb797cc37c7edad005ef2ce,onboarding-cro,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified activation defined by delivered value and validated against retention.,research/synthesis-matrices/marketing-and-growth.md::Conversion,
930,e8544a7235687a58639bf6873aa372fe60a67611,signup-flow-cro,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found signup-flow-cro to be a near-duplicate lineage of reviewed rank 874; it added no material behavior beyond the existing conversion synthesis.,research/synthesis-matrices/marketing-and-growth.md::Conversion,26615e089246c5cd619c03a71bad11cccb278764
931,acf77e503d9f9c0efb535365894be3339547adfd,ad-creative,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified ad variants organized as testable message hypotheses.,research/synthesis-matrices/marketing-and-growth.md::Persuasion,
933,1abb41607062b6d620c795a4522a9885ecb379a4,startup-analyst,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material research decision in startup-analyst that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Research,
980,6f920713034307123bd172b2828e2149bb0823b3,peft-fine-tuning,data-science-and-ml,retained,retained-synthesis-evidence,"Retained because review identified fine-tuning method chosen from data, quality, resource, and serving tradeoffs.",research/synthesis-matrices/data-science-and-ml.md::Scale,
988,0b2f338b9ca93e96255935a710582eba73a019da,copywriting,marketing-and-growth,not-retained,not-retained-near-duplicate,Review found copywriting to be a near-duplicate lineage of reviewed rank 502; it added no material behavior beyond the existing persuasion synthesis.,research/synthesis-matrices/marketing-and-growth.md::Persuasion,cbf9adff01b55fd12511faea71da44b548b80c10
992,baeaae74515ad6d5b255bba6d6bb1c9f5c6860de,schema-markup,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in schema-markup that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
996,4933f61bd31fe691e393e1758ac952ef55147e74,seo-content-writer,marketing-and-growth,not-retained,not-retained-covered,Substantive review found no material search decision in seo-content-writer that was not already represented by the cited synthesis rule.,research/synthesis-matrices/marketing-and-growth.md::Search,
