rank,super_skill,category,skill_name,file_sha,repositories,occurrences,reference_repository,reference_path,reference_commit,reference_url,license_metadata,provenance_status,reuse_policy
69,interface-design,"UI/UX, frontend, visual and brand design",ckm:design-system,cfbcba0c8d36e5dd8a20ad00c6e9df53ec4a1341,212,252,3dresolucaoo-ship-it/TestesiteOficial,.claude/skills/design-tokens/SKILL.md,,https://github.com/3dresolucaoo-ship-it/TestesiteOficial/blob/HEAD/.claude/skills/design-tokens/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
70,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,skill-installer,313626ac2f4c9c65f7b8267fdc974abb1dc797d3,211,709,0x1337c0d3/nidex,codex-rs/core/src/skills/assets/samples/skill-installer/SKILL.md,,https://github.com/0x1337c0d3/nidex/blob/HEAD/codex-rs/core/src/skills/assets/samples/skill-installer/SKILL.md,Apache-2.0,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
71,interface-design,"UI/UX, frontend, visual and brand design",image-to-code,d19f8de112252ea88724c540647cad85b7653d46,211,315,Alvaro-gonzalez05/aguslanding,.augment/skills/image-to-code/SKILL.md,,https://github.com/Alvaro-gonzalez05/aguslanding/blob/HEAD/.augment/skills/image-to-code/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
72,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,subagent-driven-development,5150b18632aab99596c87d38cbf56709c1068028,211,254,25sidhx/withopus,antigravity-skills/antigravity-skills-main/skills/subagent-driven-development/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills/antigravity-skills-main/skills/subagent-driven-development/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
73,software-delivery,Software delivery workflow and quality,e2e-testing,0563199141a715ca7fd1aaaccfb4ac767b1d6f26,208,302,0xAlgoRhythm/TranscriptRegistry,.claude/.agents/skills/e2e-testing/SKILL.md,,https://github.com/0xAlgoRhythm/TranscriptRegistry/blob/HEAD/.claude/.agents/skills/e2e-testing/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
74,game-development,Game and immersive development,mobile-games,f91d0065a6273a16425c3e4c54ad900bfe91a956,207,270,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/mobile-games/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/mobile-games/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
75,software-delivery,Software delivery workflow and quality,requesting-code-review,fe7c8d90c85bd0de5640f7c4db522659537bbb5e,206,268,25sidhx/withopus,antigravity-skills-main/skills/requesting-code-review/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/requesting-code-review/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
76,interface-design,"UI/UX, frontend, visual and brand design",ckm:design,1c4a37fb294a02d1fab922ea4fb7542c8e5e1432,206,243,99anujb/Portfolio,ui-ux-pro-max-skill-main/.claude/skills/design/SKILL.md,,https://github.com/99anujb/Portfolio/blob/HEAD/ui-ux-pro-max-skill-main/.claude/skills/design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
77,interface-design,"UI/UX, frontend, visual and brand design",design-taste-frontend,ccc3a2f84f529ee7faafcfe0a71678447675056f,205,262,30x-llc/Monet,skills/craft/taste-skill/SKILL.md,,https://github.com/30x-llc/Monet/blob/HEAD/skills/craft/taste-skill/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
78,game-development,Game and immersive development,2d-games,a3f8d24b4b328b27db5d0c415b57b252e007a118,204,264,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/2d-games/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/2d-games/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
79,game-development,Game and immersive development,vr-ar,bd42475e6672bb49969bba928575a775cb8ec76c,203,263,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/vr-ar/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/vr-ar/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
80,software-delivery,Software delivery workflow and quality,requesting-code-review,34b8340486d06fcfd5d25a08fa1435b15b234eea,203,239,352astro/byte_e2e_agent,backend/agent/skills/requesting-code-review/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/requesting-code-review/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
81,software-delivery,Software delivery workflow and quality,writing-plans,847412ece1ee0c3582f7c04d1f2f7db2988dba1c,203,238,352astro/byte_e2e_agent,backend/agent/skills/writing-plans/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/writing-plans/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
82,systems-and-security,"Security, shell and system operations",vulnerability-scanner,97f16882f1b6f6388ed2f4b96635f52ac7c92859,201,241,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/vulnerability-scanner/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/vulnerability-scanner/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
83,interface-design,"UI/UX, frontend, visual and brand design",brandkit,d76399f666af97ac8c142928e02602d9732e78aa,199,299,Alvaro-gonzalez05/aguslanding,.augment/skills/brandkit/SKILL.md,,https://github.com/Alvaro-gonzalez05/aguslanding/blob/HEAD/.augment/skills/brandkit/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
84,application-engineering,"Application, framework, API and data engineering",api-patterns,fbd4bef4b487db377aa9f5c3989cb6be14e82421,199,255,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/api-patterns/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/api-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
85,game-development,Game and immersive development,game-development,20886339dba853832087af4cb71c80389d5cad2c,198,238,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
86,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,skill-creator,57f4e58b10cec3b0d2b3eccfd510201fefa140eb,197,289,1Keria/Agentic-kv-cache-management,Agent/codex/codex-rs/skills/src/assets/samples/skill-creator/SKILL.md,,https://github.com/1Keria/Agentic-kv-cache-management/blob/HEAD/Agent/codex/codex-rs/skills/src/assets/samples/skill-creator/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
87,systems-and-security,"Security, shell and system operations",powershell-windows,1b0459cad42ca0bc93f1ed6377f68402dfa9704d,197,237,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/powershell-windows/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/powershell-windows/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
88,document-productivity,"Documents, productivity and workplace content",obsidian-markdown,bca51a429c020a4cb6740a917517116e66d428b1,197,233,1095327780/FLOWnote,bundled-skills/obsidian-markdown/SKILL.md,,https://github.com/1095327780/FLOWnote/blob/HEAD/bundled-skills/obsidian-markdown/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
89,software-delivery,Software delivery workflow and quality,executing-plans,a591862734d39d188a6741874b2678702617f038,197,229,352astro/byte_e2e_agent,backend/agent/skills/executing-plans/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/executing-plans/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
90,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,mcp-builder,c9ef8a261f80e0c37dc73300ce90679e946c4407,196,322,AJBcoding/claude-skill-eval,agentic-coding-main/Claude/skills/mcp-builder/SKILL.md,,https://github.com/AJBcoding/claude-skill-eval/blob/HEAD/agentic-coding-main/Claude/skills/mcp-builder/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
91,software-delivery,Software delivery workflow and quality,caveman-review,48f4adbfc00f79e447f9c9ebd48044f58aaccdca,196,257,Addy48/AIIMIN,.qwen/skills/caveman-review/SKILL.md,,https://github.com/Addy48/AIIMIN/blob/HEAD/.qwen/skills/caveman-review/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
92,application-engineering,"Application, framework, API and data engineering",python-patterns,164e31ccea0175347681dd64657f3d316878a94c,196,252,AadiGS/TorjanHorse_ET-5,panvel_extracted/panvel hackathon/frontend/.agent/skills/python-patterns/SKILL.md,,https://github.com/AadiGS/TorjanHorse_ET-5/blob/HEAD/panvel_extracted/panvel%20hackathon/frontend/.agent/skills/python-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
93,application-engineering,"Application, framework, API and data engineering",nodejs-best-practices,f5abcacc8f71810416ace2eddc6507c70a5872db,196,233,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/nodejs-best-practices/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/nodejs-best-practices/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
94,reasoning-modes,"Interaction, reasoning and response modes",brainstorming,2fd19ba1e67d66ee97b178e6691611b9975a82d3,193,347,1203992808/ChatGPTCaricature,.claude/skills/brainstorming/SKILL.md,,https://github.com/1203992808/ChatGPTCaricature/blob/HEAD/.claude/skills/brainstorming/SKILL.md,NOASSERTION,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
95,application-engineering,"Application, framework, API and data engineering",database-design,40c24a0b3f17317bce3022489e3be7d333724895,193,248,104dk/antigravity,.agent/skills/database-design/SKILL.md,,https://github.com/104dk/antigravity/blob/HEAD/.agent/skills/database-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
96,interface-design,"UI/UX, frontend, visual and brand design",mobile-design,0218363b61adb75713c014a4856bfe3a7de65419,193,245,25sidhx/dayo,.agents/skills/mobile-design/SKILL.md,,https://github.com/25sidhx/dayo/blob/HEAD/.agents/skills/mobile-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
97,software-delivery,Software delivery workflow and quality,using-git-worktrees,134d37140b1b21560f9bab28476a8c06406d64df,193,228,352astro/byte_e2e_agent,backend/agent/skills/using-git-worktrees/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/using-git-worktrees/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
98,systems-and-security,"Security, shell and system operations",bash-linux,4776fcf741c14e0579b0927a44c976a40dc7d378,192,235,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/bash-linux/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/bash-linux/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
99,interface-design,"UI/UX, frontend, visual and brand design",ckm:brand,035a1960a4e8a87d1cdc10fd1d1d63d4855e5409,192,229,99anujb/Portfolio,ui-ux-pro-max-skill-main/.claude/skills/brand/SKILL.md,,https://github.com/99anujb/Portfolio/blob/HEAD/ui-ux-pro-max-skill-main/.claude/skills/brand/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
100,application-engineering,"Application, framework, API and data engineering",django-patterns,7def430731339070bd67db56ac45e1728e3c0eb6,192,216,Adaptive-Liquidity/aeon-lab,.kiro/skills/django-patterns/SKILL.md,,https://github.com/Adaptive-Liquidity/aeon-lab/blob/HEAD/.kiro/skills/django-patterns/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
101,application-engineering,"Application, framework, API and data engineering",architecture,3e4f6ad3411d31cd53c90f3d7e1d6e266cd211f8,191,256,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/architecture/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/architecture/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
107,software-delivery,Software delivery workflow and quality,git-guardrails-claude-code,d943c68219d0f47512f10c5018a11fd8358e9bb5,188,257,0xAidan/polymarket-bot-test,.cursor/skills/git-guardrails-claude-code/SKILL.md,,https://github.com/0xAidan/polymarket-bot-test/blob/HEAD/.cursor/skills/git-guardrails-claude-code/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
142,application-engineering,"Application, framework, API and data engineering",docker-patterns,c438c4ad53664664fbe607084fc3c12276e3ed7c,166,181,AdmiralGallade/harness-repository,harnesses/everything-claude-code/skills/docker-patterns/SKILL.md,,https://github.com/AdmiralGallade/harness-repository/blob/HEAD/harnesses/everything-claude-code/skills/docker-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
148,application-engineering,"Application, framework, API and data engineering",domain-modeling,d0f7e1a5ccb06a7184056ff9af02b67bc77f9dda,165,177,0xAidan/polymarket-bot-test,.cursor/skills/domain-modeling/SKILL.md,,https://github.com/0xAidan/polymarket-bot-test/blob/HEAD/.cursor/skills/domain-modeling/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
193,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,agent-harness-construction,29cd83411d3a5daddf26944a2a8e9bbd4b3febcf,148,158,AdmiralGallade/harness-repository,harnesses/everything-claude-code/skills/agent-harness-construction/SKILL.md,,https://github.com/AdmiralGallade/harness-repository/blob/HEAD/harnesses/everything-claude-code/skills/agent-harness-construction/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
233,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,enterprise-agent-ops,7576b5416502e93f3c5cf9d1009850d1c597ea94,134,147,AdmiralGallade/harness-repository,harnesses/everything-claude-code/skills/enterprise-agent-ops/SKILL.md,,https://github.com/AdmiralGallade/harness-repository/blob/HEAD/harnesses/everything-claude-code/skills/enterprise-agent-ops/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
344,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,context-engineering,be991103fe2b13f7e5f6f5da9d3c6029ad30ac64,113,123,1101hirokin/chezmoi-dotfiles,dot_claude/skills/context-engineering/SKILL.md,,https://github.com/1101hirokin/chezmoi-dotfiles/blob/HEAD/dot_claude/skills/context-engineering/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
102,marketing-and-growth,Marketing and growth,investor-materials,e392706af5d1b6b7c03738526c1251f122873f1e,190,297,0xAlgoRhythm/TranscriptRegistry,.claude/.agents/skills/investor-materials/SKILL.md,,https://github.com/0xAlgoRhythm/TranscriptRegistry/blob/HEAD/.claude/.agents/skills/investor-materials/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
125,marketing-and-growth,Marketing and growth,seo-fundamentals,682fea80b08a35552266feea7be97c6f6659e2dc,180,236,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/seo-fundamentals/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/seo-fundamentals/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
131,marketing-and-growth,Marketing and growth,market-research,12ffa034b4f40ccd989ab3a2413bae8c424d1c26,174,269,0xAlgoRhythm/TranscriptRegistry,.claude/.agents/skills/market-research/SKILL.md,,https://github.com/0xAlgoRhythm/TranscriptRegistry/blob/HEAD/.claude/.agents/skills/market-research/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
209,connected-service-automation,Connected-service automation,imessage,82df6a6ecf8a81e9ff265fe2d70cabb44b0ebc6c,141,272,0xzgbot/forge-nps-v01,hermes_home/profiles/forgehermes/skills/apple/imessage/SKILL.md,,https://github.com/0xzgbot/forge-nps-v01/blob/HEAD/hermes_home/profiles/forgehermes/skills/apple/imessage/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
255,marketing-and-growth,Marketing and growth,investor-outreach,4fc69f4c288f26a1c0aedc166789795671d2204b,129,212,0xAlgoRhythm/TranscriptRegistry,.claude/.agents/skills/investor-outreach/SKILL.md,,https://github.com/0xAlgoRhythm/TranscriptRegistry/blob/HEAD/.claude/.agents/skills/investor-outreach/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
294,connected-service-automation,Connected-service automation,apple-notes,61e8cf76d9a4a8f8e6cad3d7458170cecb719242,121,169,ANONIMO432HZ/opn-claw-v1,skills/apple-notes/SKILL.md,,https://github.com/ANONIMO432HZ/opn-claw-v1/blob/HEAD/skills/apple-notes/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
299,data-science-and-ml,Data science and machine learning,pytorch-patterns,8b56d81529300eac854fafe1c5a663e0dd9d142b,121,129,Adaptive-Liquidity/aeon-lab,.kiro/skills/pytorch-patterns/SKILL.md,,https://github.com/Adaptive-Liquidity/aeon-lab/blob/HEAD/.kiro/skills/pytorch-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
310,connected-service-automation,Connected-service automation,spotify-player,040da793fd869f9bd56803715c81648a9f5f0347,119,179,3022667993/xianfeng,external/openclaw/skills/spotify-player/SKILL.md,,https://github.com/3022667993/xianfeng/blob/HEAD/external/openclaw/skills/spotify-player/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
378,marketing-and-growth,Marketing and growth,marketing-psychology,5b23873fb55490b805abbf4ae94817a53ed7580f,109,175,419vive/kunjia-autos-ai-chatbot,.claude/skills/marketing-psychology/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/marketing-psychology/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
420,connected-service-automation,Connected-service automation,feishu-drive,6b46eec7c8798ef0083348a083d1883d3ed9cf4a,105,129,3022667993/xianfeng,external/openclaw/extensions/feishu/skills/feishu-drive/SKILL.md,,https://github.com/3022667993/xianfeng/blob/HEAD/external/openclaw/extensions/feishu/skills/feishu-drive/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
423,marketing-and-growth,Marketing and growth,pricing-strategy,3651310a1a7f4dfe16bdf4dc03e1dc9dd76a1bc0,104,193,419vive/kunjia-autos-ai-chatbot,.claude/skills/pricing-strategy/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/pricing-strategy/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
434,connected-service-automation,Connected-service automation,feishu-perm,1ce5db8b86c52d53a2687a630e102e8355cfd101,104,127,3022667993/xianfeng,external/openclaw/extensions/feishu/skills/feishu-perm/SKILL.md,,https://github.com/3022667993/xianfeng/blob/HEAD/external/openclaw/extensions/feishu/skills/feishu-perm/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
455,marketing-and-growth,Marketing and growth,programmatic-seo,b3e150eb8418bff9081edc296ec1b5611cf8ffc7,102,163,419vive/kunjia-autos-ai-chatbot,.claude/skills/programmatic-seo/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/programmatic-seo/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
456,data-science-and-ml,Data science and machine learning,senior-data-scientist,c61c186893eb0afda5d391a9d1ad70f6edad11b9,102,151,1Reminding/Skills-benchmark,skill-economy-benchmark/dataset/powerlifting-coef-calc/environment/skills/senior-data-scientist/SKILL.md,,https://github.com/1Reminding/Skills-benchmark/blob/HEAD/skill-economy-benchmark/dataset/powerlifting-coef-calc/environment/skills/senior-data-scientist/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
466,marketing-and-growth,Marketing and growth,product-marketing-context,4ba17e616350c0bb3e9dc3d25671a911b6da795e,101,161,419vive/kunjia-autos-ai-chatbot,kun-auto-chatbot/.claude/skills/product-marketing-context/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/kun-auto-chatbot/.claude/skills/product-marketing-context/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
502,marketing-and-growth,Marketing and growth,copywriting,cbf9adff01b55fd12511faea71da44b548b80c10,98,151,AbdelazizMoustafa10m/agent-skills,finvault/skills/copywriting/SKILL.md,,https://github.com/AbdelazizMoustafa10m/agent-skills/blob/HEAD/finvault/skills/copywriting/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
570,marketing-and-growth,Marketing and growth,page-cro,2bdffe5269a8b1a08e95d1a84825c3bf56c3adcf,94,142,419vive/kunjia-autos-ai-chatbot,.claude/skills/page-cro/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/page-cro/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
648,marketing-and-growth,Marketing and growth,popup-cro,5dd86483d389b69d51c5c20171b665225b37a13d,91,146,Abhiman1206/obsidian-prism,antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/popup-cro/SKILL.md,,https://github.com/Abhiman1206/obsidian-prism/blob/HEAD/antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/popup-cro/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
735,data-science-and-ml,Data science and machine learning,computer-vision-expert,6d69f63f6dbaa57c525a1a32d1f37eb4412c8aa8,88,140,Abhiman1206/obsidian-prism,antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/computer-vision-expert/SKILL.md,,https://github.com/Abhiman1206/obsidian-prism/blob/HEAD/antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/computer-vision-expert/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
874,marketing-and-growth,Marketing and growth,signup-flow-cro,26615e089246c5cd619c03a71bad11cccb278764,85,116,1203992808/ChatGPTCaricature,.claude/skills/signup-flow-cro/SKILL.md,,https://github.com/1203992808/ChatGPTCaricature/blob/HEAD/.claude/skills/signup-flow-cro/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
905,data-science-and-ml,Data science and machine learning,pytorch-fsdp,9e16f446ff7601ba63cc898eca4eb47b12b663d2,84,119,1thirteeng3/greenmoire,integrations/hermes-agent/skills/mlops/training/pytorch-fsdp/SKILL.md,,https://github.com/1thirteeng3/greenmoire/blob/HEAD/integrations/hermes-agent/skills/mlops/training/pytorch-fsdp/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
929,marketing-and-growth,Marketing and growth,onboarding-cro,af71b61cc7e430b42eb797cc37c7edad005ef2ce,83,141,419vive/kunjia-autos-ai-chatbot,.claude/skills/onboarding-cro/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/onboarding-cro/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
931,marketing-and-growth,Marketing and growth,ad-creative,acf77e503d9f9c0efb535365894be3339547adfd,83,139,419vive/kunjia-autos-ai-chatbot,.claude/skills/ad-creative/SKILL.md,,https://github.com/419vive/kunjia-autos-ai-chatbot/blob/HEAD/.claude/skills/ad-creative/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
980,data-science-and-ml,Data science and machine learning,peft-fine-tuning,6f920713034307123bd172b2828e2149bb0823b3,82,111,1thirteeng3/greenmoire,integrations/hermes-agent/skills/mlops/training/peft/SKILL.md,,https://github.com/1thirteeng3/greenmoire/blob/HEAD/integrations/hermes-agent/skills/mlops/training/peft/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
